"file","arc","id","stimulus_period","recorded_radian","recorded_degree","type","obstacle"
"5_118",5,"118",14,0.048758053,2.793630643,"stimulus","none"
"5_119",5,"119",14,2.794183435,160.094918,"stimulus","none"
"5_121",5,"121",14,0.393130821,22.52473683,"stimulus","none"
"10_1",10,"1",28,-0.453996296,-26.01207168,"stimulus","none"
"10_2",10,"2",28,-1.679476854,-96.22693553,"stimulus","none"
"10_3",10,"3",28,-2.636838674,-151.0797272,"stimulus","none"
"10_5",10,"5",28,-2.257003687,-129.3167856,"stimulus","none"
"10_6",10,"6",28,1.02833711,58.91937635,"stimulus","none"
"10_7",10,"7",28,-2.923764337,-167.5193568,"stimulus","none"
"10_8",10,"8",28,-0.600891989,-34.42857491,"stimulus","none"
"10_9",10,"9",28,-2.095700962,-120.0748202,"stimulus","none"
"10_10",10,"10",28,2.300013477,131.781065,"stimulus","none"
"10_11",10,"11",28,0.395773203,22.67613416,"stimulus","none"
"10_12",10,"12",28,-1.856875038,-106.3911027,"stimulus","none"
"10_13",10,"13",28,0.076061733,4.358016262,"stimulus","none"
"10_14",10,"14",28,1.243378062,71.2403153,"stimulus","none"
"10_15",10,"15",28,-3.014271228,-172.7050197,"stimulus","none"
"10_16",10,"16",28,-2.813727368,-161.2147029,"stimulus","none"
"10_17",10,"17",28,2.841028797,162.7789596,"stimulus","none"
"10_19",10,"19",28,-1.589067474,-91.04685965,"stimulus","none"
"10_20",10,"20",28,-0.384373888,-22.02300156,"stimulus","none"
"10_23",10,"23",28,-1.624637014,-93.08484413,"stimulus","none"
"10_24",10,"24",28,2.09446049,120.0037464,"stimulus","none"
"10_26",10,"26",28,-0.957095764,-54.83754784,"stimulus","none"
"10_27",10,"27",28,1.561362129,89.45946028,"stimulus","none"
"10_28",10,"28",28,-0.005982826,-0.342790696,"stimulus","none"
"10_29",10,"29",28,-0.148292156,-8.496514691,"stimulus","none"
"10_33",10,"33",28,-2.478030721,-141.9807018,"stimulus","none"
"10_35",10,"35",28,3.00950039,172.4316708,"stimulus","none"
"10_39",10,"39",28,-1.472357822,-84.35988912,"stimulus","none"
"10_41",10,"41",28,1.263377288,72.38618655,"stimulus","none"
"10_45",10,"45",28,-1.540667154,-88.27372556,"stimulus","none"
"10_101",10,"101",28,3.115891113,178.5274102,"stimulus","none"
"10_102",10,"102",28,2.770097745,158.7149096,"stimulus","none"
"10_105",10,"105",28,-1.938594916,-111.0733069,"stimulus","none"
"10_107",10,"107",28,-0.265904088,-15.235182,"stimulus","none"
"10_108",10,"108",28,-1.476869898,-84.61841207,"stimulus","none"
"10_109",10,"109",28,2.999475394,171.8572808,"stimulus","none"
"10_110",10,"110",28,2.742337076,157.1243405,"stimulus","none"
"10_111",10,"111",28,1.641068827,94.02631767,"stimulus","none"
"10_112",10,"112",28,-1.813649057,-103.9144365,"stimulus","none"
"10_113",10,"113",28,2.750130236,157.5708556,"stimulus","none"
"10_114",10,"114",28,2.355654815,134.9690789,"stimulus","none"
"10_116",10,"116",28,2.671187022,153.0477426,"stimulus","none"
"10_117",10,"117",28,1.689046925,96.77526019,"stimulus","none"
"10_119",10,"119",28,-2.013713062,-115.3772596,"stimulus","none"
"10_121",10,"121",28,-2.871645305,-164.5331562,"stimulus","none"
"15_2",15,"2",42,0.065579862,3.757449289,"stimulus","none"
"15_3",15,"3",42,1.441630294,82.59933149,"stimulus","none"
"15_7",15,"7",42,-0.067498943,-3.86740453,"stimulus","none"
"15_9",15,"9",42,-0.502734937,-28.8045901,"stimulus","none"
"15_10",15,"10",42,-1.493431919,-85.56734597,"stimulus","none"
"15_11",15,"11",42,0.005643702,0.323360292,"stimulus","none"
