first_f,orig_x,orig_y,stim_x,stim_y,last_f,stim_x_0,stim_y_0,stim_theta,r_px,quadrant,video,order,vid_ord,x0,y0,x1,y1,cond,arc,type,obstacle,id,x_int,y_int,abs_rads,radians,degs,succ4,succ5,succ6,rho0,rel_x0,rel_y0
1,960.79,-540.79,710.24,-150.66,231,-0.5403792839515752,0.8414215527760047,2.141684136654413,463.6558199785698,top,G1D_0_obstacle/WIN_20210201_11_24_19_Pro,1,G1D_0_obstacle/WIN_20210201_11_24_19_Pro_1,0.19736622739736037,-0.040698292110022856,0.8303788789231529,-0.3071890696995525,Herm 0 obst,0,Herm,obst,4,0.9361121898005422,-0.3517015327046981,-0.35938814338136016,-0.9302759532408764,143.300885903212,FALSE,FALSE,FALSE,0.2015186807661744,0.1440756835737628,-0.1408970407797562
1,959.07,-536.21,1185.6,-933.2,508,0.4956087182778881,-0.8685459103391996,-1.0522607876343018,457.0742838970488,bottom,G1D_0_obstacle/WIN_20210201_11_32_56_Pro,1,G1D_0_obstacle/WIN_20210201_11_32_56_Pro_1,-0.2002519135830802,-0.002494124128533907,-0.7358978876084868,0.5994649221213147,Herm 0 obst,0,Herm,obst,6,-0.7701094047269983,0.6379118314869447,2.449808965177728,-1.21031922757266,159.346183603447,FALSE,FALSE,FALSE,0.20026744505499128,0.1751640902427517,-0.09708033291188843
1,965.93,-533.92,1337.2,-278.79,665,0.8241643206534026,0.5663507504735166,0.6020712658799452,450.48055429729715,left,G1D_0_obstacle/WIN_20210204_16_55_13_Pro,1,G1D_0_obstacle/WIN_20210204_16_55_13_Pro_1,0.1650903669216299,-0.11427796274203993,0.364433044742826,-0.7428511548561816,Herm 0 obst,0,Herm,obst,9,0.4170829611904544,-0.908868419236031,-1.1405629075271673,-0.1718378466122159,99.8455833714964,FALSE,FALSE,FALSE,0.20078416774932592,0.1876828727309615,0.0713401801388472
1,959.64,-535.64,517.46,-593.41,345,-0.9915732547018365,-0.12954721363274033,-3.0116803218326442,445.93780429562145,right,G1D_0_obstacle/WIN_20210204_17_12_38_Pro,1,G1D_0_obstacle/WIN_20210204_17_12_38_Pro_1,0.1705619018332393,0.10775045205215808,0.020518556426165322,0.8928150880342602,Herm 0 obst,0,Herm,obst,32,3.313146999892047e-5,0.9999999994511528,1.5707631953248917,-0.12994546322715372,97.4453266097884,FALSE,FALSE,FALSE,0.20174618280011145,0.08474664730255546,-0.1830833909599455
1,953.35,-529.92,1397.8,-407.5,303,0.9640964739533222,0.26555223386514953,0.2687766765548525,461.0015823183256,left,G1D_0_obstacle/WIN_20210204_17_30_19_Pro,1,G1D_0_obstacle/WIN_20210204_17_30_19_Pro_1,0.20097544900838182,0.028546539762010784,0.9517320912296549,-0.2332746873865235,Herm 0 obst,0,Herm,obst,20,0.9707922231997282,-0.23992177761705763,-0.24228527441297176,1.0597343758270723,29.2816928601781,TRUE,TRUE,TRUE,0.20299269946602697,0.025847861108104355,0.2013403191430889
1,963.07,-535.07,513.46,-591.12,297,-0.9923189076579729,-0.12370604473705993,-3.0175688999799632,453.0902278796134,right,G1D_0_obstacle/WIN_20210204_17_44_09_Pro,1,G1D_0_obstacle/WIN_20210204_17_44_09_Pro_1,0.18810822824156256,0.06945636445807797,0.5871457463229252,0.7234320667959575,Herm 0 obst,0,Herm,obst,23,0.6230118468335067,0.7822123999944666,0.8982090795427138,-0.7966110008620126,135.642448263086,FALSE,FALSE,FALSE,0.20052155020324663,0.045652738810674214,-0.19525552369906854
1,965.93,-532.78,1320,-818.79,390,0.7779085479861854,-0.6283775067346258,-0.6794657379901068,455.15633028663905,left,G1D_0_obstacle/WIN_20210204_17_54_23_Pro,1,G1D_0_obstacle/WIN_20210204_17_54_23_Pro_1,-0.19731682067003492,0.040227936604702495,-0.20232608858148882,-0.9362936899759732,Herm 0 obst,0,Herm,obst,3,-0.20254655788783543,-0.9792726340952196,-1.77475401008763,0.47550805469737334,62.7553953413646,FALSE,FALSE,FALSE,0.2013758044125527,0.09269579605679532,-0.178772771965419
1,960.21,-525.91,1293.1,-835.96,368,0.7317646724565562,-0.681557381402732,-0.7498887855087708,454.91400791798,left,G1D_0_obstacle/WIN_20210204_18_07_28_Pro,1,G1D_0_obstacle/WIN_20210204_18_07_28_Pro_1,0.174736320747309,0.0980844714019992,0.5407395589461634,0.7884127412156224,Herm 0 obst,0,Herm,obst,37,0.5614638102004631,0.8275012929507591,0.9746426340266282,-2.9878575608492906,261.191628022917,FALSE,FALSE,FALSE,0.20038299658033873,-0.1908675802930422,0.061015671032900516
1,959.12,-524.76,1258.9,-871.51,257,0.6540122712451611,-0.7564839384023601,-0.8579201281730713,458.37060431489283,bottom,G1D_0_obstacle/WIN_20210204_18_16_38_Pro,1,G1D_0_obstacle/WIN_20210204_18_16_38_Pro_1,0.18954095044959496,0.09108350231665044,0.43039409190488154,0.8710637118555453,Herm 0 obst,0,Herm,obst,34,0.43888031067131295,0.8985455319042278,1.1164441462398116,-2.7380247059718066,246.877259854733,FALSE,FALSE,FALSE,0.2102902192009963,-0.2029544129077126,0.05505890094152606
1,972.23,-536.21,1398.4,-702.1,379,0.9318884904120913,-0.36274487100091923,-0.371211704005455,457.3186646092635,left,G1D_0_obstacle/WIN_20210312_11_18_59_Pro,1,G1D_0_obstacle/WIN_20210312_11_18_59_Pro_1,0.17880311110823538,-0.0938076735544001,0.8993072704596304,0.16010717616907183,Herm 0 obst,0,Herm,obst,2,0.9819336102619272,0.18922575151912557,0.1903735928193667,2.132381623619718,327.823532655336,TRUE,TRUE,FALSE,0.201916894190835,0.02255837982416028,0.2006528137340261
